original_language,popularity,runtime,vote_average,vote_count,budget,release_date,genre_Documentary,genre_Mystery,genre_Music,genre_Crime,genre_Horror,genre_Adventure,genre_History,genre_TV Movie,genre_Animation,genre_Family,genre_Thriller,genre_Action,genre_War,genre_Foreign,genre_Romance,genre_Drama,genre_Science Fiction,genre_Western,genre_Comedy,prodc_6194,prodc_33,prodc_4,prodc_306,prodc_5,prodc_12,prodc_9195,prodc_2,prodc_g40,kw_woman director,kw_independent film,kw_murder,kw_based on novel,kw_violence,kw_dystopia,kw_sport,kw_revenge,kw_teenager,kw_sex,Christopher Nolan,Quentin Tarantino,Stanley Kubrick,David Lynch,Wes Anderson,David Fincher,Peter Jackson,James Cameron,Martin Scorsese,Paul Thomas Anderson,Michael Moore,Paul Greengrass,Francis Ford Coppola,Steven Spielberg,Roman Polanski,Darren Aronofsky,other_dirct,Robert De Niro,Samuel L. Jackson,Bruce Willis,Nicolas Cage,Matt Damon,Morgan Freeman,Brad Pitt,Johnny Depp,Mark Wahlberg,Denzel Washington,Tom Hanks,Tom Cruise,Julia Roberts,Owen Wilson,Harrison Ford,Cameron Diaz,Julianne Moore,Robin Williams,cast_g10
1,150.437577,162.0,7.2,11800,237000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,139.082615,169.0,6.9,4500,300000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,107.376788,148.0,6.3,4466,245000000,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,112.31295,165.0,7.6,9106,250000000,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,43.926995,132.0,6.1,2124,260000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,115.699814,139.0,5.9,3576,258000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,48.681969,100.0,7.4,3330,260000000,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,134.279229,141.0,7.3,6767,280000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,98.885637,153.0,7.4,5293,250000000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,57.925623,154.0,5.4,1400,270000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
